id,created_at,favorite_count,retweet_count,text
1494456647158276102,2022-02-17 23:40:05+00:00,62,14,The #RoboDog #NFT auctions end tomorrow at noon ET! Get your bids in before it’s too late on six unique digital collectibles benefitting @Petfinder_fnd  and powered by @Sweet. https://t.co/ptaO46ZpyC https://t.co/FKA4BkKeWu
1494038984787386375,2022-02-16 20:00:26+00:00,58,12,"The possibilities just became more possible. Introducing the all-new Sportage Plug-In Hybrid. #KiaSportage #PHEV. 

https://t.co/wVnIx73PVi https://t.co/DM8TVrjDD3"
1493789990026989568,2022-02-16 03:31:01+00:00,45,6,"Gives new meaning to the idea of plug and play. Introducing the all-new Sportage Plug-In Hybrid - our first one ever. #KiaSportage #PHEV. 

https://t.co/wVnIx73PVi https://t.co/XyPFtLRPPE"
1493299109612199939,2022-02-14 19:00:26+00:00,60,13,"This Valentine’s Day, find your forever love. Find shelter dogs in your area who need a forever home at https://t.co/zE7oDB1NnM.

 #RoboDog #LiveFullyCharged #KiaEV6 https://t.co/FWF2Fkt3Xq"
1493062445916692483,2022-02-14 03:20:01+00:00,58,8,"While that #game of fetch is over, #RoboDog still wants to play. You can bid until 2/18 on six unique Robo Dog NFTs to benefit pet adoption through @petfinder_fnd. #NFT https://t.co/Xl4NTyUIdD https://t.co/WqQNtJIdVQ"
1493057782215446530,2022-02-14 03:01:29+00:00,66,11,Give it up for this year’s MVP–the Most Valuable Pooch. What a good boy. #RoboDog #LiveFullyCharged #MovementThatInspires #GameDay https://t.co/gOnvvIf9ev
1493047627184689152,2022-02-14 02:21:08+00:00,17,5,Thanks @RocketMortgage. We agree. Which is why we're helping shelter dogs find their forever dream home https://t.co/HuSDfgvKEH https://t.co/RhKpOND8gr
1493047435500797954,2022-02-14 02:20:22+00:00,29,5,Good news! You can take home a #RoboDog of your own with six unique NFTs that benefit @petfinder_fnd. #NFT https://t.co/Xl4NTzcj5b https://t.co/65LJnyq1NN
1493046819118481411,2022-02-14 02:17:55+00:00,38,4,Charged for the 4th quarter. #RoboDog #LiveFullyCharged #MovementThatInspires #GameDay https://t.co/9IFozk4g2Q
1493043067460493313,2022-02-14 02:03:01+00:00,74,12,#RoboDog looks even cuter on TV. Take home a Robo Dog of your own with six unique NFTs that benefit @petfinder_fnd. #NFT https://t.co/Xl4NTyUIdD https://t.co/67LiWfPVXi
1493034150424506368,2022-02-14 01:27:35+00:00,64,9,"If your team’s down, don’t worry. In the second half, things could always turn around. #RoboDog #LiveFullyCharged #MovementThatInspires #GameDay https://t.co/TvquJ1Vj6t"
1493027968020623364,2022-02-14 01:03:01+00:00,41,6,#Halftime is the perfect time to support pets in need. Bid on six unique #RoboDog NFTs to support pet adoption through @petfinder_fnd. #NFT https://t.co/Xl4NTyUIdD https://t.co/edf7cSSq1O
1493023765218746371,2022-02-14 00:46:19+00:00,34,3,"Hey, know what makes #interceptions feel better? Cute puppy dog eyes. #RoboDog #LiveFullyCharged #MovementThatInspires #GameDay https://t.co/dCev1XqV2S"
1493018878292627460,2022-02-14 00:26:54+00:00,27,2,"Let’s watch that #REPLAY. 

#RoboDog #LiveFullyCharged #MovementThatInspires #GameDay https://t.co/wfKnHKbWjz"
1493003252102799364,2022-02-13 23:24:48+00:00,31,2,Heads or tails? #RoboDog #LiveFullyCharged #KiaEV6 #MovementThatInspires #GameDay https://t.co/RJzJJRlsjX
1492999197850746882,2022-02-13 23:08:42+00:00,87,18,"This #GameDay, give #RoboDog a forever home to help pets find theirs. Bid on six unique Robo Dog NFTs that will all benefit @Petfinder_fnd. Powered by Sweet. https://t.co/SvcjxEfjpS https://t.co/h00y6IHTdH"
1492968642056622081,2022-02-13 21:07:16+00:00,30,6,"Warm up #RoboDog for the #BigGame! Play here: https://t.co/34unlPXura

#LiveFullyCharged #KiaEV6 #MovementThatInspires #GameDay https://t.co/Kfvl46JojR"
1492151556879306757,2022-02-11 15:00:28+00:00,256,87,"Want a #RoboDog of your very own? We are sharing 10,000 free “Adoption Pass” NFTs. They will give exclusive early access to the sale of your very own Robo Dog NFT, benefitting Petfinder Foundation. Powered by @sweet. https://t.co/OkL322040T https://t.co/CSfB4jFKXp"
1491832741658124292,2022-02-10 17:53:37+00:00,43,8,"#RoboDog doesn't just follow his dreams, he chases them down. Watch him #LiveFullyCharged in the #BigGame on 2.13.
#MovementThatInspires #KiaEV6 https://t.co/fRHF47lbLq"
1491497671550406659,2022-02-09 19:42:10+00:00,15,3,"Find our #BigGame commercial live on @USATODAY #ADMETER. Be part of the adventure and show Robo Dog some love here: https://t.co/kW3AGpe0aY
 
#RoboDog #LiveFullyCharged #KiaEV6 #MovementThatInspires https://t.co/XBwz8Z7hJL"
1491124807575945218,2022-02-08 19:00:32+00:00,19,2,"In honor of #BlackHistory Month, we’re highlighting the voices of Black youth. The ones who will write tomorrow’s history, the next generation of leaders, trailblazers, and icons. Their hopes. Their dreams. Their visions for the future. #MicIsYours https://t.co/q9pGdIA6Fe"
1490823756515667970,2022-02-07 23:04:16+00:00,39,7,The #BigGame is in sight. Watch #RoboDog #LiveFullyCharged on 2.13. #MovementThatInspires #KiaEV6 https://t.co/7gr7Sd4ULh
